News Search interest
United States; 2010

Interest over time
Week,Law & Government
2010-01-03 - 2010-01-09,+0%
2010-01-10 - 2010-01-16,+8%
2010-01-17 - 2010-01-23,+19%
2010-01-24 - 2010-01-30,+36%
2010-01-31 - 2010-02-06,+15%
2010-02-07 - 2010-02-13,+8%
2010-02-14 - 2010-02-20,+6%
2010-02-21 - 2010-02-27,+25%
2010-02-28 - 2010-03-06,+38%
2010-03-07 - 2010-03-13,+28%
2010-03-14 - 2010-03-20,+30%
2010-03-21 - 2010-03-27,+77%
2010-03-28 - 2010-04-03,+34%
2010-04-04 - 2010-04-10,+15%
2010-04-11 - 2010-04-17,+40%
2010-04-18 - 2010-04-24,+23%
2010-04-25 - 2010-05-01,+21%
2010-05-02 - 2010-05-08,+23%
2010-05-09 - 2010-05-15,+40%
2010-05-16 - 2010-05-22,+19%
2010-05-23 - 2010-05-29,+21%
2010-05-30 - 2010-06-05,+36%
2010-06-06 - 2010-06-12,+47%
2010-06-13 - 2010-06-19,+38%
2010-06-20 - 2010-06-26,+62%
2010-06-27 - 2010-07-03,+77%
2010-07-04 - 2010-07-10,+38%
2010-07-11 - 2010-07-17,+26%
2010-07-18 - 2010-07-24,+74%
2010-07-25 - 2010-07-31,+89%
2010-08-01 - 2010-08-07,+77%
2010-08-08 - 2010-08-14,+62%
2010-08-15 - 2010-08-21,+55%
2010-08-22 - 2010-08-28,+25%
2010-08-29 - 2010-09-04,+51%
2010-09-05 - 2010-09-11,+30%
2010-09-12 - 2010-09-18,+32%
2010-09-19 - 2010-09-25,+47%
2010-09-26 - 2010-10-02,+30%
2010-10-03 - 2010-10-09,+43%
2010-10-10 - 2010-10-16,+32%
2010-10-17 - 2010-10-23,+36%
2010-10-24 - 2010-10-30,+23%
2010-10-31 - 2010-11-06,+85%
2010-11-07 - 2010-11-13,+42%
2010-11-14 - 2010-11-20,+49%
2010-11-21 - 2010-11-27,+28%
2010-11-28 - 2010-12-04,+49%
2010-12-05 - 2010-12-11,+53%
2010-12-12 - 2010-12-18,+66%
2010-12-19 - 2010-12-25,+26%
2010-12-26 - 2011-01-01,+2%



Top searches
obama,100
unemployment,75
immigration,70
unemployment extension,35
health care,35
barack obama,30
police,30
immigration reform,25
senate,20
california,20
murder,20
illegal immigration,20
budget,15
van der sloot,15
clinton,15
unemployment benefits,15
supreme court,15
shooting,15
arizona,10
blagojevich,10



Rising searches
joran,Breakout
van der sloot,Breakout
chelsea clinton,+550%
harry reid,+500%
arizona,+400%
dream act,+400%
unemployment extension,+400%
illegal immigration,+350%
immigration reform,+250%
unemployment benefits,+180%



